,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
258,"Medu, famrel, G3",G1,0.2582278481012658,0.41265822784810124,0.20759493670886076,0.803921568627451,1.9481534945266452,0.10103509053036373,2.995443037974684,0.656122533921585
259,"Medu, famrel, G1",G3,0.21265822784810126,0.529113924050633,0.20759493670886076,0.9761904761904762,1.8449532923217131,0.09507450729049831,19.777215189873395,0.5816798682456278
260,"Medu, G3, G1",famrel,0.26582278481012656,0.7620253164556962,0.20759493670886076,0.7809523809523811,1.0248378421135897,0.005031244992789646,1.0864061640066052,0.03301093355761163
261,"G1, famrel, G3",Medu,0.31139240506329113,0.5822784810126582,0.20759493670886076,0.6666666666666666,1.144927536231884,0.02627784008972922,1.2531645569620251,0.18382352941176477
262,"Medu, famrel","G1, G3",0.4481012658227848,0.4050632911392405,0.20759493670886076,0.4632768361581921,1.1437146892655368,0.02608556321102387,1.1084610259826781,0.22767957037368533
263,"Medu, G3","G1, famrel",0.3367088607594937,0.3189873417721519,0.20759493670886076,0.6165413533834586,1.9328082110036997,0.10018907226406025,1.7759741871432118,0.7276112455781047
264,"Medu, G1","famrel, G3",0.2708860759493671,0.4,0.20759493670886076,0.7663551401869159,1.9158878504672896,0.09924050632911391,2.5679999999999996,0.6556571815718156
265,"famrel, G3","Medu, G1",0.4,0.2708860759493671,0.20759493670886076,0.5189873417721519,1.9158878504672896,0.09924050632911391,1.5157894736842106,0.7967479674796747
266,"G1, famrel","Medu, G3",0.3189873417721519,0.3367088607594937,0.20759493670886076,0.6507936507936508,1.9328082110036997,0.10018907226406025,1.8994246260069045,0.7086771239459606
267,"G1, G3","Medu, famrel",0.4050632911392405,0.4481012658227848,0.20759493670886076,0.5125,1.1437146892655365,0.02608556321102387,1.1320999675430055,0.21120913336792937
268,Medu,"G1, famrel, G3",0.5822784810126582,0.31139240506329113,0.20759493670886076,0.3565217391304348,1.144927536231884,0.02627784008972922,1.0701334245638041,0.30303030303030315
